DB1,DB2,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
DOID,SNOMEDCT,2,2,2,2.2857142857142856,2.5,3
DOID,GARD,2,2,2,2.0362606232294618,2,4
DOID,MONDO,2,2,2,2.017575083426029,2,4
DOID,ICD9,2,3,4,3.8181818181818183,5,5
DOID,EFO,2,2,2,2.1431095406360425,2,6
DOID,ORPHA,2,2,2,2.26359286646368,2,8
DOID,NCIt,2,2,2,2.307659664757055,2,16
DOID,MeSH,2,2,2,2.404803749267721,2,18
DOID,MedGen,2,2,2,2.3633858870350526,2,19
DOID,UMLS,2,2,2,2.3633858870350526,2,19
DOID,OMIM,2,2,2,3.4551636209094774,2,37
DOID,ICD10,2,2,3,14.389461077844311,7,136
ORPHA,EFO,2,2,2,2.012251148545176,2,3
ORPHA,NCIt,2,2,2,2.0019821605550048,2,3
ORPHA,ORPHA,2,2,2,2.032520325203252,2,3
ORPHA,SNOMEDCT,2,2,2,2.0130463144161777,2,3
ORPHA,MONDO,2,2,2,2.004380681195926,2,4
ORPHA,GARD,2,2,2,2.076897358742895,2,5
ORPHA,MeSH,2,2,2,2.1108116202455824,2,5
ORPHA,DOID,2,2,2,2.26359286646368,2,8
ORPHA,MedGen,2,2,2,2.5513340247006693,3,9
ORPHA,UMLS,2,2,2,2.549415314975481,3,9
ORPHA,ClinVar,2,2,3,7.30414201183432,6,63
ORPHA,OMIM,2,2,4,10.168587896253602,9,93
ORPHA,ICD9,2,3,6,28.028322440087145,23,141
ORPHA,ICD10,2,6,12,48.57905207723815,38,441
EFO,ClinVar,2,2,2,2,2,2
EFO,EFO,2,2,2,2,2,2
EFO,GARD,2,2,2,2.032490974729242,2,3
EFO,ORPHA,2,2,2,2.012251148545176,2,3
EFO,MONDO,2,2,2,2.018617021276596,2,4
EFO,MeSH,2,2,2,2.0871602624179943,2,5
EFO,DOID,2,2,2,2.1431095406360425,2,6
EFO,NCIt,2,2,2,2.104490500863558,2,6
EFO,MedGen,2,2,2,2.2485574789169998,2,10
EFO,SNOMEDCT,2,2,2,2.427364864864865,2,10
EFO,UMLS,2,2,2,2.2477797513321494,2,10
EFO,OMIM,2,2,3,4.569553805774278,5,18
EFO,ICD10,2,2,3,4.236311239193084,5,19
EFO,ICD9,2,2,3,4.361197110423117,5,31
MONDO,MONDO,2,2,2,2,2,2
MONDO,NCIt,2,2,2,2.0047267355982274,2,3
MONDO,SNOMEDCT,2,2,2,2.0124513618677042,2,3
MONDO,DOID,2,2,2,2.017575083426029,2,4
MONDO,EFO,2,2,2,2.018617021276596,2,4
MONDO,MeSH,2,2,2,2.00995151824445,2,4
MONDO,ORPHA,2,2,2,2.004380681195926,2,4
MONDO,GARD,2,2,2,2.0557837097878164,2,5
MONDO,MedGen,2,2,2,2.162416918429003,2,10
MONDO,UMLS,2,2,2,2.162416918429003,2,10
MONDO,OMIM,2,2,2,2.020450395617772,2,11
MONDO,ICD9,2,2,3,10.911138483195495,7,172
MONDO,ICD10,2,3,9,40.84391951006124,31,433
MedGen,UMLS,2,2,2,2,2,2
MedGen,ClinVar,2,2,2,2.0002475860361475,2,3
MedGen,NCIt,2,2,2,2.028767352400067,2,4
MedGen,ORPHA,2,2,2,2.5513340247006693,3,9
MedGen,SNOMEDCT,2,2,2,2.1025708118008763,2,9
MedGen,EFO,2,2,2,2.2485574789169998,2,10
MedGen,MONDO,2,2,2,2.162416918429003,2,10
MedGen,DOID,2,2,2,2.3633858870350526,2,19
MedGen,MeSH,2,2,2,3.036405005688282,3,22
MedGen,OMIM,2,2,3,3.6354626737046214,4,29
ClinVar,EFO,2,2,2,2,2,2
ClinVar,NCIt,2,2,2,2,2,2
ClinVar,MedGen,2,2,2,2.0002475860361475,2,3
ClinVar,MeSH,2,2,2,2.0153846153846153,2,3
ClinVar,UMLS,2,2,2,2.0002475860361475,2,3
ClinVar,SNOMEDCT,2,2,2,2.0784313725490198,2,4
ClinVar,OMIM,2,2,4,5.712036830771516,7,45
ClinVar,ORPHA,2,2,3,7.30414201183432,6,63
UMLS,MedGen,2,2,2,2,2,2
UMLS,ClinVar,2,2,2,2.0002475860361475,2,3
UMLS,NCIt,2,2,2,2.028767352400067,2,4
UMLS,ORPHA,2,2,2,2.549415314975481,3,9
UMLS,SNOMEDCT,2,2,2,2.1025708118008763,2,9
UMLS,EFO,2,2,2,2.2477797513321494,2,10
UMLS,MONDO,2,2,2,2.162416918429003,2,10
